Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Salary_Expectation,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Civil Engineer,Collaborative,Creative,medium,medium,low,medium,low,Engineering,4,high,high,low,medium,low,Kinesthetic,5,high,Achieve success as a Civil Engineer.,rural,yes,diploma,3.78,no,no,low,medium,low,1,shifts,hybrid,79337,yes,10,no,high,high,high,high,high,Civil Engineer
Administrative Officer,Flexible,Creative,medium,high,low,low,low,Other,8,high,low,high,low,medium,Visual,2,low,Achieve success as a Administrative Officer.,urban,yes,diploma,2.04,yes,yes,low,high,medium,7,9to5,onsite,74326,yes,8,yes,medium,medium,medium,medium,high,Administrative Officer
Chef,Flexible,Analytical,medium,high,medium,high,high,Arts/Hospitality,0,high,high,medium,medium,low,Kinesthetic,2,low,Achieve success as a Chef.,urban,no,bachelor,3.15,yes,yes,high,low,low,1,9to5,onsite,64605,yes,4,yes,high,medium,high,medium,medium,Chef
Diplomat,Collaborative,Strategic,high,medium,medium,high,low,Other,1,low,high,low,high,low,Auditory,2,high,Achieve success as a Diplomat.,flexible,no,bachelor,3.49,yes,yes,high,low,low,4,freelance,onsite,64127,no,10,no,low,low,low,low,low,Diplomat
Video Game Tester,Collaborative,Strategic,low,high,high,medium,low,Other,2,high,medium,medium,low,medium,Visual,3,medium,Achieve success as a Video Game Tester.,rural,yes,bachelor,3.63,no,no,medium,low,low,0,freelance,remote,87398,yes,3,no,high,low,medium,medium,low,Video Game Tester
IT Project Manager,Flexible,Strategic,low,medium,high,low,high,Computer Science/IT,2,high,medium,medium,medium,low,Auditory,5,medium,Achieve success as a IT Project Manager.,flexible,yes,diploma,2.42,no,no,high,medium,high,3,shifts,remote,99507,yes,6,no,medium,low,high,medium,medium,IT Project Manager
Forestry Technician,Flexible,Analytical,medium,low,low,low,high,Other,3,low,medium,medium,medium,low,Visual,3,low,Achieve success as a Forestry Technician.,urban,no,bachelor,2.14,no,yes,medium,low,high,6,freelance,hybrid,89548,no,3,no,medium,high,high,medium,medium,Forestry Technician
Software Developer,Independent,Creative,high,high,medium,high,medium,Computer Science/IT,9,low,low,high,low,low,Auditory,2,high,Achieve success as a Software Developer.,rural,no,bachelor,3.74,no,yes,medium,medium,low,6,freelance,remote,63099,yes,2,yes,medium,low,low,high,medium,Software Developer
Physical Therapist,Flexible,Strategic,high,high,low,medium,high,Health Sciences,10,high,low,low,low,low,Visual,2,low,Achieve success as a Physical Therapist.,flexible,no,diploma,3.58,no,no,medium,low,medium,0,9to5,onsite,87589,no,0,no,low,medium,high,high,medium,Physical Therapist
Journalist,Independent,Analytical,low,high,high,low,medium,Communications/Marketing,0,medium,high,low,low,medium,Visual,5,high,Achieve success as a Journalist.,flexible,yes,diploma,2.34,no,no,low,low,high,4,shifts,onsite,66301,yes,4,yes,high,high,high,low,medium,Journalist
Web Developer,Collaborative,Strategic,high,medium,medium,high,high,Computer Science/IT,9,low,low,low,medium,low,Visual,3,medium,Achieve success as a Web Developer.,rural,no,bachelor,2.63,yes,no,low,high,low,5,9to5,remote,75151,no,9,no,low,high,high,medium,low,Web Developer
Artist,Independent,Creative,high,low,low,medium,low,Arts/Hospitality,0,medium,medium,medium,low,low,Visual,0,high,Achieve success as a Artist.,urban,no,PhD,3.78,yes,yes,medium,low,medium,10,shifts,remote,99499,no,10,no,medium,high,high,low,low,Artist
IT Project Manager,Independent,Strategic,medium,low,high,medium,low,Computer Science/IT,5,high,high,high,high,high,Visual,3,medium,Achieve success as a IT Project Manager.,flexible,yes,bachelor,3.65,yes,no,medium,high,medium,3,9to5,onsite,86208,yes,10,no,high,medium,high,low,high,IT Project Manager
Dental Hygienist,Independent,Strategic,low,high,medium,medium,high,Other,6,high,medium,medium,medium,low,Visual,0,low,Achieve success as a Dental Hygienist.,rural,yes,PhD,2.21,no,no,medium,high,low,5,9to5,hybrid,95262,yes,6,no,high,medium,high,medium,low,Dental Hygienist
Airline Pilot,Collaborative,Strategic,high,high,high,high,high,Aviation,0,low,high,low,low,low,Reading/Writing,5,high,Achieve success as a Airline Pilot.,rural,no,PhD,3.44,no,no,medium,high,high,6,freelance,remote,83285,yes,7,yes,high,medium,low,low,high,Airline Pilot
Sports Coach,Independent,Strategic,high,low,medium,low,high,Other,5,high,high,low,high,low,Auditory,2,low,Achieve success as a Sports Coach.,urban,no,bachelor,2.11,yes,yes,medium,medium,high,10,9to5,onsite,72493,no,7,no,high,high,low,medium,medium,Sports Coach
Investment Banker,Collaborative,Creative,low,low,high,high,medium,Finance/Accounting,5,medium,medium,high,low,high,Reading/Writing,3,low,Achieve success as a Investment Banker.,urban,no,master,2.99,no,yes,high,medium,medium,6,9to5,onsite,72500,yes,8,yes,medium,medium,low,low,high,Investment Banker
Software Developer,Independent,Analytical,high,medium,medium,medium,low,Computer Science/IT,0,high,medium,low,high,high,Reading/Writing,4,low,Achieve success as a Software Developer.,urban,yes,bachelor,3,no,yes,low,medium,medium,0,9to5,hybrid,90706,yes,3,no,low,medium,low,high,high,Software Developer
Nurse,Independent,Analytical,low,medium,low,high,low,Health Sciences,3,low,high,low,low,medium,Reading/Writing,4,high,Achieve success as a Nurse.,urban,yes,PhD,3.99,yes,no,high,high,medium,0,9to5,hybrid,73040,yes,5,no,low,low,high,high,medium,Nurse
Police Detective,Collaborative,Strategic,high,low,medium,low,medium,Other,7,medium,high,medium,medium,medium,Reading/Writing,4,medium,Achieve success as a Police Detective.,urban,yes,master,2.67,no,no,high,high,medium,4,9to5,onsite,79470,yes,5,no,medium,low,high,medium,medium,Police Detective
Speech Pathologist,Flexible,Analytical,high,high,low,medium,medium,Other,1,medium,medium,medium,medium,low,Visual,0,low,Achieve success as a Speech Pathologist.,urban,yes,bachelor,2.74,no,no,medium,high,high,4,9to5,hybrid,94255,no,4,no,low,medium,high,medium,low,Speech Pathologist
Advertising Executive,Independent,Analytical,medium,high,high,high,high,Other,8,low,high,high,high,medium,Visual,4,low,Achieve success as a Advertising Executive.,flexible,yes,PhD,2.41,yes,yes,medium,medium,high,0,shifts,hybrid,86955,no,7,no,high,high,low,high,high,Advertising Executive
Robotics Engineer,Collaborative,Creative,medium,high,high,low,low,Engineering,7,medium,low,medium,low,high,Kinesthetic,5,high,Achieve success as a Robotics Engineer.,urban,yes,PhD,2.15,yes,yes,high,medium,low,2,shifts,remote,85911,yes,7,yes,high,high,high,high,low,Robotics Engineer
IT Project Manager,Collaborative,Analytical,high,medium,low,high,low,Computer Science/IT,1,medium,high,medium,low,low,Auditory,3,high,Achieve success as a IT Project Manager.,flexible,yes,master,3.34,yes,no,high,medium,low,6,9to5,hybrid,85875,no,0,no,medium,medium,high,high,medium,IT Project Manager
Geologist,Independent,Strategic,high,medium,high,high,low,Science,6,high,low,low,low,high,Visual,2,medium,Achieve success as a Geologist.,rural,yes,PhD,3.91,no,no,low,medium,medium,5,freelance,onsite,72235,yes,2,no,low,high,low,low,medium,Geologist
Psychologist,Collaborative,Analytical,medium,medium,medium,high,low,Other,6,medium,medium,high,high,medium,Kinesthetic,2,high,Achieve success as a Psychologist.,rural,yes,master,3.51,yes,no,low,medium,high,7,9to5,hybrid,67870,no,7,yes,high,low,high,low,low,Psychologist
Accountant,Independent,Strategic,low,medium,low,medium,medium,Finance/Accounting,3,medium,low,medium,low,high,Kinesthetic,2,medium,Achieve success as a Accountant.,rural,yes,diploma,2.65,yes,yes,medium,high,high,9,freelance,onsite,88590,no,7,yes,medium,low,high,high,low,Accountant
Journalist,Collaborative,Strategic,medium,medium,medium,medium,low,Communications/Marketing,6,low,medium,high,low,low,Auditory,0,low,Achieve success as a Journalist.,rural,no,bachelor,2.07,no,yes,low,low,high,2,shifts,remote,85363,no,1,yes,low,high,medium,medium,low,Journalist
Speech Pathologist,Flexible,Strategic,medium,high,high,low,high,Other,8,medium,high,medium,low,high,Auditory,3,high,Achieve success as a Speech Pathologist.,urban,no,diploma,2.52,yes,yes,medium,medium,low,10,9to5,hybrid,62676,no,2,yes,medium,low,low,low,high,Speech Pathologist
Rehabilitation Counselor,Flexible,Creative,medium,medium,medium,medium,low,Education/Social Sciences,1,low,low,high,medium,low,Auditory,4,medium,Achieve success as a Rehabilitation Counselor.,urban,yes,bachelor,3.36,yes,no,low,low,medium,0,shifts,hybrid,91252,yes,9,yes,medium,high,high,high,medium,Rehabilitation Counselor
Human Rights Lawyer,Flexible,Strategic,high,medium,high,low,medium,Other,1,low,high,medium,low,medium,Auditory,5,low,Achieve success as a Human Rights Lawyer.,flexible,yes,PhD,2.54,yes,yes,high,medium,low,1,9to5,hybrid,96269,yes,10,no,medium,low,low,medium,medium,Human Rights Lawyer
Biologist,Independent,Strategic,medium,low,medium,high,low,Science,4,high,high,medium,medium,medium,Kinesthetic,0,medium,Achieve success as a Biologist.,urban,no,PhD,2.62,yes,yes,high,low,medium,1,shifts,hybrid,96666,no,9,no,low,low,medium,high,high,Biologist
Research Scientist,Flexible,Analytical,medium,high,low,high,medium,Science,2,low,low,low,low,high,Auditory,5,medium,Achieve success as a Research Scientist.,flexible,no,master,2.11,no,yes,low,low,low,5,freelance,onsite,95692,no,6,no,medium,medium,high,low,medium,Research Scientist
Psychologist,Flexible,Creative,medium,low,high,medium,low,Other,10,low,medium,low,medium,low,Kinesthetic,5,low,Achieve success as a Psychologist.,flexible,no,diploma,3.28,no,no,low,medium,low,5,9to5,hybrid,73278,no,10,no,medium,high,high,medium,low,Psychologist
Speech Pathologist,Flexible,Creative,low,high,low,medium,medium,Other,10,high,low,low,medium,high,Reading/Writing,4,high,Achieve success as a Speech Pathologist.,rural,no,diploma,2.68,no,yes,high,high,medium,5,shifts,onsite,94335,no,3,no,low,high,low,high,high,Speech Pathologist
Technical Writer,Independent,Analytical,medium,medium,high,high,low,Computer Science/IT,2,medium,low,medium,high,high,Kinesthetic,0,medium,Achieve success as a Technical Writer.,rural,no,diploma,2.28,yes,yes,medium,high,high,0,9to5,onsite,84545,no,7,no,high,high,medium,high,medium,Technical Writer
Public Relations Specialist,Flexible,Analytical,low,low,high,low,medium,Communications/Marketing,9,high,medium,high,medium,low,Auditory,1,medium,Achieve success as a Public Relations Specialist.,urban,no,PhD,3.55,yes,no,high,high,medium,5,shifts,remote,81982,no,4,no,high,low,high,low,high,Public Relations Specialist
Marketing Analyst,Independent,Strategic,low,medium,high,medium,high,Finance/Accounting,5,low,low,medium,medium,high,Reading/Writing,0,high,Achieve success as a Marketing Analyst.,flexible,yes,PhD,3.58,yes,yes,high,medium,medium,6,freelance,onsite,84095,yes,10,no,high,low,high,high,high,Marketing Analyst
Zoologist,Collaborative,Creative,low,high,high,medium,medium,Other,0,low,low,medium,medium,medium,Visual,1,low,Achieve success as a Zoologist.,flexible,yes,PhD,2.31,no,yes,medium,low,high,7,shifts,remote,88281,no,0,yes,low,medium,high,medium,high,Zoologist
Urban Planner,Flexible,Analytical,high,high,low,high,high,Finance/Accounting,10,medium,high,high,high,medium,Auditory,3,medium,Achieve success as a Urban Planner.,flexible,no,master,2.7,no,no,low,low,medium,5,shifts,remote,79698,no,8,no,medium,medium,medium,low,high,Urban Planner
Fashion Stylist,Collaborative,Strategic,high,medium,high,low,high,Other,10,low,low,medium,medium,low,Visual,1,medium,Achieve success as a Fashion Stylist.,urban,yes,master,3.61,no,yes,low,low,medium,6,freelance,remote,68348,yes,4,yes,high,low,high,high,low,Fashion Stylist
Radiologic Technologist,Collaborative,Analytical,high,high,medium,low,low,Computer Science/IT,2,medium,high,high,low,low,Kinesthetic,1,high,Achieve success as a Radiologic Technologist.,urban,no,bachelor,3.16,no,yes,medium,medium,high,7,9to5,remote,74753,yes,9,no,medium,medium,high,low,low,Radiologic Technologist
Environmental Scientist,Independent,Strategic,low,medium,medium,medium,high,Science,8,low,medium,medium,high,high,Reading/Writing,2,medium,Achieve success as a Environmental Scientist.,flexible,yes,PhD,3.25,no,yes,high,low,low,10,shifts,hybrid,74207,no,6,yes,high,medium,low,low,medium,Environmental Scientist
Administrative Officer,Collaborative,Creative,low,low,high,medium,low,Other,7,low,high,low,low,high,Auditory,5,low,Achieve success as a Administrative Officer.,rural,no,diploma,3.19,no,yes,low,high,medium,2,freelance,remote,97253,yes,2,no,high,medium,medium,high,low,Administrative Officer
Insurance Underwriter,Collaborative,Creative,low,low,medium,high,high,Computer Science/IT,0,low,low,medium,high,low,Visual,4,medium,Achieve success as a Insurance Underwriter.,flexible,yes,diploma,2.92,yes,no,high,medium,medium,9,9to5,remote,81998,no,6,no,low,high,low,medium,high,Insurance Underwriter
Tax Collector,Collaborative,Creative,high,high,low,low,high,Other,6,low,high,low,high,medium,Auditory,1,low,Achieve success as a Tax Collector.,flexible,yes,master,2.93,yes,yes,medium,medium,high,4,shifts,onsite,93615,yes,4,no,high,medium,low,high,medium,Tax Collector
Lawyer,Independent,Creative,low,medium,high,medium,high,Other,5,high,low,high,high,high,Kinesthetic,3,low,Achieve success as a Lawyer.,urban,yes,bachelor,2.5,no,yes,medium,high,medium,6,shifts,remote,63462,no,1,no,high,high,high,high,high,Lawyer
Construction Engineer,Independent,Analytical,medium,low,medium,low,medium,Engineering,9,high,high,low,medium,low,Auditory,4,medium,Achieve success as a Construction Engineer.,urban,no,master,2.32,yes,no,medium,medium,medium,9,9to5,remote,83156,no,8,yes,medium,medium,high,high,high,Construction Engineer
Customs and Border Protection Officer,Independent,Creative,low,high,low,high,high,Other,0,high,medium,low,high,medium,Kinesthetic,5,medium,Achieve success as a Customs and Border Protection Officer.,flexible,no,diploma,3.29,yes,no,high,low,low,10,shifts,onsite,61687,yes,2,no,low,low,low,medium,low,Customs and Border Protection Officer
Public Relations Specialist,Flexible,Creative,high,high,low,high,low,Communications/Marketing,10,medium,high,low,medium,low,Auditory,0,medium,Achieve success as a Public Relations Specialist.,urban,no,diploma,3.03,no,yes,high,medium,high,6,9to5,onsite,99001,no,8,no,high,medium,low,medium,medium,Public Relations Specialist
Chiropractor,Collaborative,Analytical,low,high,low,low,medium,Health Sciences,6,low,low,low,medium,high,Visual,4,high,Achieve success as a Chiropractor.,rural,yes,diploma,3.3,no,yes,high,low,medium,9,freelance,remote,66496,yes,7,no,low,low,low,high,low,Chiropractor
Teacher,Independent,Analytical,high,medium,low,medium,medium,Education/Social Sciences,5,medium,high,low,low,high,Reading/Writing,5,low,Achieve success as a Teacher.,flexible,yes,bachelor,2.32,yes,no,low,high,medium,10,shifts,remote,76631,no,1,yes,low,medium,high,low,low,Teacher
Investment Banker,Independent,Analytical,low,high,medium,medium,medium,Finance/Accounting,2,low,low,low,high,medium,Auditory,0,low,Achieve success as a Investment Banker.,urban,no,diploma,2.9,no,no,medium,high,medium,3,shifts,onsite,70193,yes,1,yes,medium,low,low,low,low,Investment Banker
HR Recruiter,Collaborative,Strategic,medium,low,medium,high,medium,Computer Science/IT,10,medium,high,medium,low,medium,Reading/Writing,2,low,Achieve success as a HR Recruiter.,rural,no,diploma,3.36,no,yes,low,low,low,2,shifts,hybrid,88601,yes,8,yes,medium,medium,medium,low,low,HR Recruiter
Zoologist,Independent,Analytical,medium,high,high,low,medium,Other,4,high,high,low,medium,low,Auditory,4,medium,Achieve success as a Zoologist.,rural,yes,diploma,3.64,no,no,high,high,medium,1,freelance,remote,76914,no,1,no,low,low,high,low,low,Zoologist
Environmental Engineer,Flexible,Strategic,low,high,high,high,high,Engineering,8,low,medium,medium,medium,low,Kinesthetic,1,low,Achieve success as a Environmental Engineer.,rural,no,PhD,2.8,no,yes,low,medium,low,2,shifts,hybrid,96601,no,4,yes,high,low,high,high,high,Environmental Engineer
Chiropractor,Independent,Creative,low,medium,low,high,low,Health Sciences,0,medium,medium,high,high,medium,Visual,3,high,Achieve success as a Chiropractor.,urban,yes,master,2.36,yes,no,low,medium,medium,5,9to5,remote,64016,no,6,no,medium,medium,high,medium,medium,Chiropractor
Salesperson,Collaborative,Creative,high,medium,high,high,low,Other,0,low,low,high,medium,high,Reading/Writing,2,low,Achieve success as a Salesperson.,rural,no,master,2.39,no,yes,high,low,low,5,freelance,hybrid,77241,no,2,yes,low,high,low,low,medium,Salesperson
Speech Therapist,Collaborative,Analytical,medium,low,medium,medium,low,Health Sciences,1,high,medium,medium,low,high,Auditory,0,medium,Achieve success as a Speech Therapist.,rural,no,diploma,2.84,no,yes,medium,medium,low,5,freelance,hybrid,68808,no,0,no,high,low,low,low,medium,Speech Therapist
Insurance Underwriter,Flexible,Analytical,low,low,high,medium,low,Computer Science/IT,2,low,high,medium,low,medium,Reading/Writing,3,medium,Achieve success as a Insurance Underwriter.,rural,no,bachelor,2.1,yes,yes,high,medium,medium,10,shifts,onsite,94266,no,6,yes,low,low,high,medium,high,Insurance Underwriter
Electronics Design Engineer,Flexible,Strategic,medium,low,medium,low,low,Engineering,5,medium,high,low,low,low,Auditory,4,low,Achieve success as a Electronics Design Engineer.,urban,yes,master,2.73,yes,no,low,low,medium,6,freelance,onsite,67970,yes,6,yes,low,high,low,low,low,Electronics Design Engineer
